SUID,tf,interaction,target,confidence_score
6038,STAT,positive_KC,ADH4,1.695929678
6039,STAT,positive_KC,AHNAK,1.836903972
6040,STAT,positive_KC,AIG1,1.747119058
6041,STAT,positive_KC,AIM1,1.787098862
6042,STAT,positive_KC,ALDOA,1.706927054
6043,STAT,positive_KC,ALPK2,1.991960063
6044,STAT,positive_KC,ALS2CL,1.532310836
6045,STAT,positive_KC,ANP32A,1.847935681
6046,STAT,negative_KC,ARC,-1.620784241
6047,STAT,positive_KC,ARF6,1.71252182
6048,STAT,positive_KC,ARHGAP12,1.71569972
6049,STAT,positive_KC,ARHGEF10,1.84262631
6050,STAT,positive_KC,ARID5A,1.982431748
6051,STAT,positive_KC,ARID5B,1.922072523
6052,STAT,positive_KC,ARL4C,1.791138091
6053,STAT,positive_KC,ATF6,1.685166469
6054,STAT,positive_KC,ATG9B,1.700522851
6055,STAT,positive_KC,ATP10A,1.654671585
6056,STAT,positive_KC,ATP10D,1.720417725
6057,STAT,positive_KC,ATP6V0A1,1.703232002
6058,STAT,negative_KC,ATP6V0C,-1.643342346
6059,STAT,positive_KC,ATRNL1,1.895140541
6060,STAT,positive_KC,ATXN1,1.94029598
6061,STAT,positive_KC,AVPI1,1.893799532
6062,STAT,positive_KC,AXL,1.897767096
6063,STAT,positive_KC,B230120H23RIK,1.724836819
6064,STAT,positive_KC,B230312A22RIK,1.899020754
6065,STAT,negative_KC,B2M,-1.588363075
6066,STAT,negative_KC,B4GALNT1,-1.782121135
6067,STAT,positive_KC,B4GALNT4,1.94081961
6068,STAT,negative_KC,B4GALT5,-1.649746279
6069,STAT,positive_KC,BC021614,1.957189489
6070,STAT,positive_KC,BACH2,1.919623087
6071,STAT,positive_KC,BATF,1.96514145
6072,STAT,negative_KC,BATF3,-1.789686736
6073,STAT,positive_KC,BCL2,1.900708034
6074,STAT,positive_KC,BCL3,1.970805893
6075,STAT,positive_KC,BCL6,1.936411371
6076,STAT,positive_KC,BDH2,1.599245359
6077,STAT,positive_KC,BEND4,1.536433962
6078,STAT,positive_KC,BHLHE40,1.950491462
6079,STAT,positive_KC,BTG2,1.804605931
6080,STAT,positive_KC,BTLA,1.762658904
6081,STAT,positive_KC,C920009B18RIK,1.904110515
6082,STAT,positive_KC,CAPG,1.725993371
6083,STAT,positive_KC,CASP4,1.584030682
6084,STAT,positive_KC,CASP6,1.865537929
6085,STAT,positive_KC,CAST,1.58214668
6086,STAT,positive_KC,CCDC63,1.918466423
6087,STAT,positive_KC,CCDC64,1.876460042
6088,STAT,positive_KC,CCL20,1.827286325
6089,STAT,negative_KC,CCR7,-1.961963352
6090,STAT,positive_KC,CD200,1.545173646
6091,STAT,positive_KC,CD24A,1.581255941
6092,STAT,positive_KC,CD28,1.990788982
6093,STAT,positive_KC,CD5,1.952464081
6094,STAT,positive_KC,CD53,1.926618535
6095,STAT,positive_KC,CD5L,1.607537745
6096,STAT,positive_KC,CD6,1.802705782
6097,STAT,negative_KC,CD83,-1.927194106
6098,STAT,positive_KC,CDC25B,1.620175363
6099,STAT,positive_KC,CDK6,1.978552294
6100,STAT,positive_KC,CDKN1A,1.673797944
6101,STAT,positive_KC,CDKN1B,1.783519965
6102,STAT,positive_KC,CDKN2D,1.962572828
6103,STAT,positive_KC,CEP97,1.548703975
6104,STAT,positive_KC,CETN4,1.874911654
6105,STAT,positive_KC,CFLAR,1.904279071
6106,STAT,positive_KC,CHD7,1.944923283
6107,STAT,positive_KC,CHM,1.885098765
6108,STAT,positive_KC,CHMP4B,1.89572274
6109,STAT,positive_KC,CHST2,1.948247437
6110,STAT,positive_KC,CIC,1.912888951
6111,STAT,positive_KC,CITED2,1.763276603
6112,STAT,positive_KC,CLIC1,1.910579948
